op_id,machine_id,process_time
J1_O1,M35,447.49
J1_O1,M36,459.01
J1_O1,M37,454.64
J1_O1,M38,451.97
J1_O1,M39,443.12
J1_O1,M40,443.12
J1_O1,M41,441.16
J1_O1,M42,457.32
J1_O1,M43,452.02
J1_O1,M44,454.16
J1_O1,M45,440.41
J1_O1,M46,459.4
J1_O1,M47,456.65
J1_O1,M48,444.25
J1_O1,M49,443.64
J1_O2,M1,454.67
J1_O2,M2,464.34
J1_O2,M3,481.98
J1_O2,M4,474.56
J1_O2,M5,463.3
J1_O2,M6,488.95
J1_O2,M7,451.16
J1_O2,M8,463.37
J1_O2,M9,469.31
J1_O2,M10,476.49
J1_O2,M11,502.81
J1_O2,M12,455.97
J1_O2,M13,481.14
J1_O2,M14,487.39
J1_O2,M15,443.72
J1_O2,M16,488.6
J1_O2,M17,453.64
J1_O2,M18,445.2
J1_O2,M19,515.91
J1_O2,M20,517.25
J1_O2,M21,504.67
J1_O2,M22,464.37
J1_O2,M23,447.81
J1_O2,M24,494.74
J1_O2,M25,475.21
J1_O2,M26,449.76
J1_O2,M27,479.61
J1_O2,M28,442.75
J1_O2,M29,512.75
J1_O2,M30,460.7
J1_O3,M35,453.25
J1_O3,M36,446.23
J1_O3,M37,450.4
J1_O3,M38,450.93
J1_O3,M39,443.7
J1_O3,M40,459.39
J1_O3,M41,455.5
J1_O3,M42,458.79
J1_O3,M43,457.9
J1_O3,M44,451.96
J1_O3,M45,458.44
J1_O3,M46,441.77
J1_O3,M47,443.92
J1_O3,M48,440.9
J1_O3,M49,446.51
J1_O4,M1,471.09
J1_O4,M2,461.71
J1_O4,M3,506.3
J1_O4,M4,468.54
J1_O4,M5,462.47
J1_O4,M6,483.42
J1_O4,M7,451.27
J1_O4,M8,504.18
J1_O4,M9,445.96
J1_O4,M10,518.95
J1_O4,M11,501.78
J1_O4,M12,455.9
J1_O4,M13,440.44
J1_O4,M14,505.24
J1_O4,M15,496.55
J1_O4,M16,498.32
J1_O4,M17,501.7
J1_O4,M18,445.92
J1_O4,M19,468.68
J1_O4,M20,449.27
J1_O4,M21,509.05
J1_O4,M22,489.86
J1_O4,M23,466.47
J1_O4,M24,445.08
J1_O4,M25,464.88
J1_O4,M26,466.01
J1_O4,M27,498.37
J1_O4,M28,491.0
J1_O4,M29,510.98
J1_O4,M30,477.78
J1_O5,M50,330.98
J1_O5,M51,360.66
J1_O5,M52,363.04
J1_O5,M53,353.06
J1_O5,M54,363.55
J1_O5,M55,349.69
J1_O5,M56,351.14
J1_O5,M57,346.38
J1_O6,M1,442.03
J1_O6,M2,448.63
J1_O6,M3,442.51
J1_O6,M4,490.91
J1_O6,M5,465.15
J1_O6,M6,480.69
J1_O6,M7,512.61
J1_O6,M8,459.94
J1_O6,M9,472.83
J1_O6,M10,500.44
J1_O6,M11,458.3
J1_O6,M12,446.16
J1_O6,M13,463.18
J1_O6,M14,452.9
J1_O6,M15,514.38
J1_O6,M16,504.65
J1_O6,M17,490.67
J1_O6,M18,509.72
J1_O6,M19,504.29
J1_O6,M20,454.93
J1_O6,M21,511.4
J1_O6,M22,483.15
J1_O6,M23,504.6
J1_O6,M24,511.69
J1_O6,M25,465.44
J1_O6,M26,448.8
J1_O6,M27,458.23
J1_O6,M28,474.17
J1_O6,M29,505.44
J1_O6,M30,508.86
J1_O7,M58,145.07
J1_O7,M59,150.11
J1_O7,M60,149.17
J1_O8,M35,444.44
J1_O8,M36,442.4
J1_O8,M37,446.75
J1_O8,M38,458.86
J1_O8,M39,446.46
J1_O8,M40,450.38
J1_O8,M41,454.06
J1_O8,M42,447.27
J1_O8,M43,459.44
J1_O8,M44,459.25
J1_O8,M45,445.04
J1_O8,M46,449.94
J1_O8,M47,446.02
J1_O8,M48,445.7
J1_O8,M49,440.74
J1_O9,M1,488.77
J1_O9,M2,480.21
J1_O9,M3,444.12
J1_O9,M4,462.29
J1_O9,M5,512.66
J1_O9,M6,459.16
J1_O9,M7,451.59
J1_O9,M8,479.16
J1_O9,M9,518.85
J1_O9,M10,459.36
J1_O9,M11,493.77
J1_O9,M12,500.93
J1_O9,M13,459.01
J1_O9,M14,498.26
J1_O9,M15,469.42
J1_O9,M16,490.58
J1_O9,M17,490.68
J1_O9,M18,482.86
J1_O9,M19,447.22
J1_O9,M20,506.82
J1_O9,M21,465.66
J1_O9,M22,454.92
J1_O9,M23,443.26
J1_O9,M24,487.27
J1_O9,M25,494.21
J1_O9,M26,441.33
J1_O9,M27,480.97
J1_O9,M28,458.12
J1_O9,M29,491.61
J1_O9,M30,453.95
J1_O10,M50,359.55
J1_O10,M51,344.34
J1_O10,M52,371.84
J1_O10,M53,331.88
J1_O10,M54,342.05
J1_O10,M55,330.67
J1_O10,M56,371.23
J1_O10,M57,368.87
J1_O11,M1,460.64
J1_O11,M2,492.8
J1_O11,M3,505.38
J1_O11,M4,484.42
J1_O11,M5,482.37
J1_O11,M6,459.35
J1_O11,M7,447.45
J1_O11,M8,511.78
J1_O11,M9,512.03
J1_O11,M10,490.65
J1_O11,M11,467.12
J1_O11,M12,467.94
J1_O11,M13,498.08
J1_O11,M14,511.77
J1_O11,M15,510.97
J1_O11,M16,502.39
J1_O11,M17,491.36
J1_O11,M18,446.73
J1_O11,M19,452.93
J1_O11,M20,511.88
J1_O11,M21,488.51
J1_O11,M22,440.74
J1_O11,M23,448.12
J1_O11,M24,493.08
J1_O11,M25,440.4
J1_O11,M26,452.86
J1_O11,M27,483.9
J1_O11,M28,495.35
J1_O11,M29,492.16
J1_O11,M30,457.94
J1_O12,M31,184.24
J1_O12,M32,174.74
J1_O12,M33,176.51
J1_O12,M34,184.93
J1_O13,M1,491.97
J1_O13,M2,507.94
J1_O13,M3,492.61
J1_O13,M4,485.46
J1_O13,M5,447.49
J1_O13,M6,469.42
J1_O13,M7,461.22
J1_O13,M8,459.52
J1_O13,M9,517.84
J1_O13,M10,471.45
J1_O13,M11,511.36
J1_O13,M12,490.49
J1_O13,M13,503.58
J1_O13,M14,480.21
J1_O13,M15,486.15
J1_O13,M16,479.4
J1_O13,M17,455.62
J1_O13,M18,497.8
J1_O13,M19,462.46
J1_O13,M20,441.95
J1_O13,M21,491.64
J1_O13,M22,454.17
J1_O13,M23,515.24
J1_O13,M24,516.31
J1_O13,M25,513.19
J1_O13,M26,469.61
J1_O13,M27,441.24
J1_O13,M28,514.27
J1_O13,M29,474.25
J1_O13,M30,517.33
J1_O14,M31,189.27
J1_O14,M32,187.06
J1_O14,M33,175.89
J1_O14,M34,177.7
J2_O1,M35,457.02
J2_O1,M36,446.34
J2_O1,M37,443.39
J2_O1,M38,451.14
J2_O1,M39,458.72
J2_O1,M40,453.92
J2_O1,M41,451.4
J2_O1,M42,441.94
J2_O1,M43,452.3
J2_O1,M44,459.8
J2_O1,M45,442.8
J2_O1,M46,450.37
J2_O1,M47,457.55
J2_O1,M48,454.82
J2_O1,M49,453.94
J2_O2,M1,496.2
J2_O2,M2,468.76
J2_O2,M3,463.49
J2_O2,M4,504.75
J2_O2,M5,504.81
J2_O2,M6,509.37
J2_O2,M7,513.06
J2_O2,M8,480.91
J2_O2,M9,480.12
J2_O2,M10,503.86
J2_O2,M11,492.0
J2_O2,M12,496.16
J2_O2,M13,503.66
J2_O2,M14,511.2
J2_O2,M15,467.04
J2_O2,M16,470.05
J2_O2,M17,447.52
J2_O2,M18,486.26
J2_O2,M19,442.88
J2_O2,M20,477.25
J2_O2,M21,483.41
J2_O2,M22,462.92
J2_O2,M23,487.27
J2_O2,M24,442.44
J2_O2,M25,442.99
J2_O2,M26,505.81
J2_O2,M27,468.82
J2_O2,M28,450.16
J2_O2,M29,481.78
J2_O2,M30,501.6
J2_O3,M35,444.32
J2_O3,M36,452.46
J2_O3,M37,441.71
J2_O3,M38,441.03
J2_O3,M39,450.63
J2_O3,M40,450.81
J2_O3,M41,452.75
J2_O3,M42,454.52
J2_O3,M43,459.52
J2_O3,M44,450.33
J2_O3,M45,446.46
J2_O3,M46,455.9
J2_O3,M47,445.42
J2_O3,M48,448.78
J2_O3,M49,441.57
J2_O4,M1,442.03
J2_O4,M2,517.01
J2_O4,M3,506.88
J2_O4,M4,495.68
J2_O4,M5,472.72
J2_O4,M6,453.86
J2_O4,M7,452.51
J2_O4,M8,460.02
J2_O4,M9,483.94
J2_O4,M10,497.17
J2_O4,M11,492.82
J2_O4,M12,462.39
J2_O4,M13,516.39
J2_O4,M14,499.03
J2_O4,M15,484.35
J2_O4,M16,488.94
J2_O4,M17,473.57
J2_O4,M18,459.82
J2_O4,M19,468.48
J2_O4,M20,500.63
J2_O4,M21,441.15
J2_O4,M22,449.29
J2_O4,M23,443.68
J2_O4,M24,443.26
J2_O4,M25,508.44
J2_O4,M26,496.29
J2_O4,M27,477.93
J2_O4,M28,447.83
J2_O4,M29,479.33
J2_O4,M30,477.88
J2_O5,M50,333.66
J2_O5,M51,346.69
J2_O5,M52,344.93
J2_O5,M53,355.79
J2_O5,M54,356.75
J2_O5,M55,327.27
J2_O5,M56,343.73
J2_O5,M57,356.29
J2_O6,M1,480.25
J2_O6,M2,508.52
J2_O6,M3,492.7
J2_O6,M4,453.03
J2_O6,M5,445.65
J2_O6,M6,491.39
J2_O6,M7,442.12
J2_O6,M8,486.86
J2_O6,M9,515.22
J2_O6,M10,486.04
J2_O6,M11,471.05
J2_O6,M12,491.46
J2_O6,M13,476.66
J2_O6,M14,483.65
J2_O6,M15,515.32
J2_O6,M16,470.89
J2_O6,M17,516.9
J2_O6,M18,512.43
J2_O6,M19,455.66
J2_O6,M20,445.55
J2_O6,M21,448.06
J2_O6,M22,441.46
J2_O6,M23,447.56
J2_O6,M24,494.64
J2_O6,M25,445.7
J2_O6,M26,465.52
J2_O6,M27,507.59
J2_O6,M28,441.86
J2_O6,M29,505.16
J2_O6,M30,462.55
J2_O7,M58,146.18
J2_O7,M59,151.97
J2_O7,M60,151.29
J2_O8,M35,457.55
J2_O8,M36,454.7
J2_O8,M37,456.07
J2_O8,M38,445.64
J2_O8,M39,443.55
J2_O8,M40,455.01
